TimeCoordinate,Channel_1,Channel_2,Label
10,0.5425,0.6598,Extension
11,0.5347,0.609,Extension
12,0.5337,0.609,Extension
13,0.5572,0.6246,Extension
14,0.5474,0.607,Extension
15,0.478,0.5054,Extension
16,0.4389,0.4663,Extension
17,0.4633,0.4624,Extension
18,0.4233,0.4594,Extension
19,0.4477,0.4682,Extension
-,-,-,-
0,0.4418,0.4751,Extension
1,0.4125,0.4497,Extension
2,0.4018,0.4203,Extension
3,0.4203,0.4438,Extension
4,0.4125,0.434,Extension
5,0.4106,0.4223,Extension
6,0.4272,0.4545,Extension
7,0.4213,0.4399,Extension
8,0.4066,0.4213,Extension
9,0.4262,0.437,Extension
10,0.4242,0.4066,Extension
11,0.4184,0.4154,Extension
12,0.4457,0.4673,Extension
13,0.436,0.4575,Extension
14,0.4145,0.4203,Extension
15,0.4057,0.4076,Extension
16,0.391,0.392,Extension
17,0.3871,0.3871,Extension
18,0.3998,0.4066,Extension
19,0.4194,0.4399,Extension
-,-,-,-
0,0.4262,0.4438,Extension
1,0.4477,0.4809,Extension
2,0.4438,0.4731,Extension
3,0.4154,0.4252,Extension
4,0.4086,0.4252,Extension
5,0.4008,0.4086,Extension
6,0.4037,0.4076,Extension
7,0.437,0.4751,Extension
8,0.4624,0.5083,Extension
9,0.4536,0.48,Extension
10,0.4702,0.435,Extension
11,0.4565,0.5533,Extension
12,0.4673,0.4399,Extension
13,0.4184,0.434,Extension
14,0.4682,0.5181,Extension
15,0.4731,0.5259,Extension
16,0.4545,0.4956,Extension
17,0.4145,0.4311,Extension
18,0.3715,0.3519,Extension
19,0.3783,0.3656,Extension
-,-,-,-
0,0.436,0.4663,Extension
1,0.4663,0.5083,Extension
2,0.478,0.5298,Extension
3,0.4526,0.4946,Extension
4,0.3891,0.392,Extension
5,0.3597,0.3372,Extension
6,0.3949,0.391,Extension
7,0.4379,0.4682,Extension
8,0.4721,0.5171,Extension
9,0.4819,0.5327,Extension
10,0.4086,0.4438,Extension
11,0.3861,0.3744,Extension
12,0.4076,0.3998,Extension
13,0.4418,0.4663,Extension
14,0.4878,0.5171,Extension
15,0.479,0.5445,Extension
16,0.4751,0.4976,Extension
