TimeCoordinate,Channel_1,Channel_2,Label
10,0.1789,0.1584,Flexion
11,0.175,0.1564,Flexion
12,0.2092,0.1584,Flexion
13,0.2219,0.2708,Flexion
14,0.2033,0.1867,Flexion
15,0.2004,0.1691,Flexion
16,0.1896,0.1681,Flexion
17,0.1887,0.1632,Flexion
18,0.1808,0.1554,Flexion
19,0.1593,0.131,Flexion
-,-,-,-
0,0.1476,0.1173,Flexion
1,0.1603,0.1329,Flexion
2,0.1808,0.1613,Flexion
3,0.1945,0.1779,Flexion
4,0.1926,0.175,Flexion
5,0.1808,0.1574,Flexion
6,0.1515,0.1241,Flexion
7,0.1427,0.1124,Flexion
8,0.1593,0.1281,Flexion
9,0.1808,0.1584,Flexion
10,0.1877,0.1632,Flexion
11,0.2297,0.1857,Flexion
12,0.2375,0.2561,Flexion
13,0.2884,0.2385,Flexion
14,0.2551,0.2082,Flexion
15,0.1857,0.1535,Flexion
16,0.1838,0.1544,Flexion
17,0.1799,0.1505,Flexion
18,0.173,0.1437,Flexion
19,0.1701,0.1437,Flexion
-,-,-,-
0,0.1593,0.1359,Flexion
1,0.1632,0.1408,Flexion
2,0.173,0.1496,Flexion
3,0.1769,0.1564,Flexion
4,0.1681,0.1457,Flexion
5,0.1623,0.1398,Flexion
6,0.173,0.1505,Flexion
7,0.174,0.1496,Flexion
8,0.1691,0.1437,Flexion
9,0.172,0.1447,Flexion
10,0.1672,0.1417,Flexion
11,0.1593,0.131,Flexion
12,0.1681,0.1408,Flexion
13,0.1877,0.1584,Flexion
14,0.2248,0.1945,Flexion
15,0.2287,0.1955,Flexion
16,0.2346,0.2141,Flexion
17,0.1681,0.1427,Flexion
18,0.1672,0.13,Flexion
19,0.1603,0.1369,Flexion
-,-,-,-
0,0.1711,0.1447,Flexion
1,0.1672,0.1408,Flexion
2,0.1574,0.131,Flexion
3,0.1564,0.1271,Flexion
4,0.1584,0.13,Flexion
5,0.1515,0.1271,Flexion
6,0.1544,0.13,Flexion
7,0.1642,0.1388,Flexion
8,0.1662,0.1398,Flexion
9,0.1574,0.129,Flexion
10,0.1515,0.1193,Flexion
11,0.1535,0.1281,Flexion
12,0.1525,0.1261,Flexion
13,0.1544,0.1359,Flexion
14,0.1799,0.1681,Flexion
15,0.2053,0.1857,Flexion
16,0.1984,0.2307,Flexion
17,0.1877,0.1632,Flexion
18,0.1769,0.1369,Flexion
19,0.1525,0.1251,Flexion
-,-,-,-
0,0.1574,0.1281,Flexion
1,0.1681,0.1427,Flexion
2,0.1652,0.1398,Flexion
3,0.1632,0.1408,Flexion
4,0.1632,0.1408,Flexion
5,0.1574,0.1359,Flexion
6,0.1496,0.1232,Flexion
7,0.1476,0.1212,Flexion
8,0.1603,0.1378,Flexion
9,0.1662,0.1447,Flexion
10,0.1672,0.1447,Flexion
11,0.1603,0.1329,Flexion
12,0.1515,0.1232,Flexion
13,0.1437,0.1114,Flexion
14,0.1828,0.1535,Flexion
15,0.2444,0.2708,Flexion
16,0.2317,0.2102,Flexion
17,0.1926,0.1652,Flexion
18,0.1672,0.1359,Flexion
19,0.1564,0.1281,Flexion
-,-,-,-
0,0.1427,0.1124,Flexion
1,0.1525,0.1271,Flexion
2,0.1808,0.1584,Flexion
3,0.1926,0.174,Flexion
4,0.1857,0.1642,Flexion
5,0.1691,0.1447,Flexion
6,0.1544,0.1241,Flexion
7,0.1457,0.1124,Flexion
8,0.1525,0.1232,Flexion
9,0.176,0.1544,Flexion
10,0.1848,0.1613,Flexion
11,0.1779,0.1505,Flexion
12,0.219,0.1505,Flexion
13,0.2287,0.2131,Flexion
14,0.2336,0.2219,Flexion
15,0.1711,0.1447,Flexion
16,0.1848,0.1564,Flexion
17,0.1789,0.1515,Flexion
18,0.1681,0.1427,Flexion
19,0.1623,0.1359,Flexion
-,-,-,-
0,0.1613,0.1359,Flexion
1,0.1632,0.1378,Flexion
2,0.1681,0.1437,Flexion
3,0.173,0.1486,Flexion
4,0.1711,0.1427,Flexion
5,0.1613,0.1339,Flexion
6,0.1613,0.1349,Flexion
7,0.1681,0.1447,Flexion
8,0.1681,0.1437,Flexion
9,0.1642,0.1359,Flexion
10,0.1603,0.1378,Flexion
11,0.1984,0.1476,Flexion
12,0.2336,0.2131,Flexion
13,0.2356,0.218,Flexion
14,0.1896,0.1632,Flexion
15,0.1681,0.1388,Flexion
16,0.1593,0.132,Flexion
17,0.1642,0.1378,Flexion
18,0.1623,0.1417,Flexion
19,0.1632,0.1427,Flexion
-,-,-,-
0,0.1681,0.1496,Flexion
1,0.175,0.1554,Flexion
2,0.173,0.1525,Flexion
3,0.1623,0.1398,Flexion
4,0.1564,0.132,Flexion
5,0.1642,0.1417,Flexion
